"BaseThick","FinThick","FinHeight","BaseMaterial","FinMaterial","FanType","MeanTemp"
2.6,4.2,20,"Silver","Silver","Exhaust",106.821
2.2,3.2,28,"Silver","Silver","Exhaust",79.4321
2.4,4,18,"Silver","Silver","Exhaust",113.88
3,3.8,30,"Silver","Silver","Exhaust",75.4531
2.2,4.8,26,"Silver","Silver","Exhaust",87.3282
2.8,4,22,"Silver","Silver","Exhaust",105.868
2.6,3.4,22,"Silver","Silver","Exhaust",92.1196
2.8,4.8,24,"Silver","Silver","Exhaust",97.7398
2.6,4.4,28,"Silver","Silver","Exhaust",84.5211
2.4,4.4,20,"Silver","Silver","Exhaust",106.09
2.2,5,34,"Silver","Silver","Exhaust",72.545
2.8,3.4,32,"Silver","Silver","Exhaust",71.7638
3,4.4,34,"Silver","Silver","Exhaust",76.984
2.8,3.4,16,"Silver","Silver","Exhaust",113.774
3,4.6,18,"Silver","Silver","Exhaust",119.946
2.2,3.6,30,"Silver","Silver","Exhaust",73.459
2.6,4.2,20,"Silver","Silver","Intake",104.839
2.2,3.2,28,"Silver","Silver","Intake",78.2605
2.4,4,18,"Silver","Silver","Intake",112.23
3,3.8,30,"Silver","Silver","Intake",74.137
2.2,4.8,26,"Silver","Silver","Intake",85.3723
2.8,4,22,"Silver","Silver","Intake",105.711
2.6,3.4,22,"Silver","Silver","Intake",90.2916
2.8,4.8,24,"Silver","Silver","Intake",95.819
2.6,4.4,28,"Silver","Silver","Intake",82.9519
2.4,4.4,20,"Silver","Silver","Intake",103.907
2.2,5,34,"Silver","Silver","Intake",71.2156
2.8,3.4,32,"Silver","Silver","Intake",70.4488
3,4.4,34,"Silver","Silver","Intake",76.7627
2.8,3.4,16,"Silver","Silver","Intake",111.336
3,4.6,18,"Silver","Silver","Intake",118.753
2.2,3.6,30,"Silver","Silver","Intake",72.1396
2.6,4.2,20,"Silver","Brass","Exhaust",106.862
2.2,3.2,28,"Silver","Brass","Exhaust",79.5055
2.4,4,18,"Silver","Brass","Exhaust",113.918
3,3.8,30,"Silver","Brass","Exhaust",75.5232
2.2,4.8,26,"Silver","Brass","Exhaust",87.3769
2.8,4,22,"Silver","Brass","Exhaust",105.913
2.6,3.4,22,"Silver","Brass","Exhaust",92.1752
2.8,4.8,24,"Silver","Brass","Exhaust",97.7845
2.6,4.4,28,"Silver","Brass","Exhaust",84.5777
2.4,4.4,20,"Silver","Brass","Exhaust",106.13
2.2,5,34,"Silver","Brass","Exhaust",72.6074
2.8,3.4,32,"Silver","Brass","Exhaust",71.8451
3,4.4,34,"Silver","Brass","Exhaust",77.0515
2.8,3.4,16,"Silver","Brass","Exhaust",113.814
3,4.6,18,"Silver","Brass","Exhaust",119.98
2.2,3.6,30,"Silver","Brass","Exhaust",73.5326
2.6,4.2,20,"Silver","Brass","Intake",104.884
2.2,3.2,28,"Silver","Brass","Intake",78.3347
2.4,4,18,"Silver","Brass","Intake",112.272
3,3.8,30,"Silver","Brass","Intake",74.2077
2.2,4.8,26,"Silver","Brass","Intake",85.4243
2.8,4,22,"Silver","Brass","Intake",105.761
2.6,3.4,22,"Silver","Brass","Intake",90.3474
2.8,4.8,24,"Silver","Brass","Intake",95.8665
2.6,4.4,28,"Silver","Brass","Intake",83.0113
2.4,4.4,20,"Silver","Brass","Intake",103.95
2.2,5,34,"Silver","Brass","Intake",71.2806
2.8,3.4,32,"Silver","Brass","Intake",70.53
3,4.4,34,"Silver","Brass","Intake",76.8328
2.8,3.4,16,"Silver","Brass","Intake",111.376
3,4.6,18,"Silver","Brass","Intake",118.79
